X1,provinceID,cityID,districtID,validVote,invalidVote,totalVotes,voters,population,name,year,DPP_votes,DPP_elected,KMT_votes,KMT_elected,highest_vote,second_highest_vote,validVote_last,DPP_votes_last,DPP_elected_last,KMT_votes_last,KMT_elected_last,highest_vote_last,second_highest_vote_last,DPP_share,KMT_share,first_share,second_share,DPP_share_last,KMT_share_last,first_share_last,second_share_last,margin_2_DPP_pos,margin_2_KMT_pos,margin_all_DPP_pos,margin_all_KMT_pos,margin_2_DPP_pos_last,margin_2_KMT_pos_last,margin_all_DPP_pos_last,margin_all_KMT_pos_last
35,5,0,3,207416,1961,209377,273788,363524,高雄市第03選區,2012,95617,FALSE,101055,TRUE,101055,95617,115647,49392,FALSE,56826,TRUE,56826,49392,0.46099143749758936,0.4872092799012612,0.4872092799012612,0.46099143749758936,0.4270927909932813,0.49137461412747413,0.49137461412747413,0.4270927909932813,-0.026217842403671865,0.026217842403671865,-0.026217842403671865,0.026217842403671865,-0.06428182313419284,0.06428182313419284,-0.06428182313419284,0.06428182313419284
36,5,0,4,171539,2665,174204,233078,294613,高雄市第04選區,2012,111188,TRUE,58261,FALSE,111188,58261,145153,67663,FALSE,74502,TRUE,74502,67663,0.6481791312762696,0.3396370504666577,0.6481791312762696,0.3396370504666577,0.46614951120541775,0.5132653131523289,0.5132653131523289,0.46614951120541775,0.3085420808096119,-0.3085420808096119,0.3085420808096119,-0.3085420808096119,-0.04711580194691117,0.04711580194691117,-0.04711580194691117,0.04711580194691117
37,5,0,5,165098,1994,167092,219956,273466,高雄市第05選區,2012,92043,TRUE,70896,FALSE,92043,70896,135775,70576,TRUE,62480,FALSE,70576,62480,0.5575052393124084,0.4294176791965984,0.5575052393124084,0.4294176791965984,0.5198011415945498,0.46017308046400296,0.5198011415945498,0.46017308046400296,0.12808756011580996,-0.12808756011580996,0.12808756011580996,-0.12808756011580996,0.05962806113054686,-0.05962806113054686,0.05962806113054686,-0.05962806113054686
38,5,0,6,154319,2408,156727,205487,265902,高雄市第06選區,2012,81477,TRUE,72842,FALSE,81477,72842,NA,0,FALSE,0,FALSE,NA,NA,0.5279777603535534,0.47202223964644663,0.5279777603535534,0.47202223964644663,NA,NA,NA,NA,0.05595552070710674,-0.05595552070710674,0.05595552070710674,-0.05595552070710674,NA,NA,NA,NA
39,5,0,7,184259,1785,186044,243236,298481,高雄市第07選區,2012,98341,TRUE,83379,FALSE,98341,83379,NA,0,FALSE,0,FALSE,NA,NA,0.5337107006984734,0.4525097824258245,0.5337107006984734,0.4525097824258245,NA,NA,NA,NA,0.08120091827264886,-0.08120091827264886,0.08120091827264886,-0.08120091827264886,NA,NA,NA,NA
40,5,0,8,200694,2479,203173,266958,342948,高雄市第08選區,2012,104292,TRUE,90186,FALSE,104292,90186,NA,0,FALSE,0,FALSE,NA,NA,0.519656790935454,0.4493706837274657,0.519656790935454,0.4493706837274657,NA,NA,NA,NA,0.07028610720798834,-0.07028610720798834,0.07028610720798834,-0.07028610720798834,NA,NA,NA,NA
41,5,0,9,183720,2849,186569,245843,312401,高雄市第09選區,2012,59258,FALSE,70600,TRUE,70600,59258,NA,0,FALSE,0,FALSE,NA,NA,0.3225451774439364,0.3842804267363379,0.3842804267363379,0.3225451774439364,NA,NA,NA,NA,-0.061735249292401484,0.061735249292401484,-0.061735249292401484,0.061735249292401484,NA,NA,NA,NA
42,6,1,1,246274,5930,252204,346844,443447,宜蘭縣第01選區,2012,127303,TRUE,118971,FALSE,127303,118971,178744,81984,FALSE,94965,TRUE,94965,81984,0.5169161178199891,0.48308388218001086,0.5169161178199891,0.48308388218001086,0.45866714407196885,0.531290560802041,0.531290560802041,0.45866714407196885,0.03383223563997828,-0.03383223563997828,0.03383223563997828,-0.03383223563997828,-0.07262341673007211,0.07262341673007211,-0.07262341673007211,0.07262341673007211
43,6,2,1,185468,2999,188467,252699,338929,桃園縣第01選區,2012,82820,FALSE,102648,TRUE,102648,82820,122995,45257,FALSE,75973,TRUE,75973,45257,0.4465460348955076,0.5534539651044924,0.5534539651044924,0.4465460348955076,0.36795804707508434,0.6176917760884589,0.6176917760884589,0.36795804707508434,-0.10690793020898481,0.10690793020898481,-0.10690793020898481,0.10690793020898481,-0.2497337290133746,0.2497337290133746,-0.2497337290133746,0.2497337290133746
44,6,2,2,183285,4092,187377,251099,336623,桃園縣第02選區,2012,91250,FALSE,92035,TRUE,92035,91250,130423,58577,FALSE,71174,TRUE,71174,58577,0.49785852633876204,0.502141473661238,0.502141473661238,0.49785852633876204,0.4491309048250692,0.5457166297355528,0.5457166297355528,0.4491309048250692,-0.004282947322475916,0.004282947322475916,-0.004282947322475916,0.004282947322475916,-0.09658572491048362,0.09658572491048362,-0.09658572491048362,0.09658572491048362
45,6,2,3,181338,2307,183645,241543,310262,桃園縣第03選區,2012,72395,FALSE,97654,TRUE,97654,72395,135744,49305,FALSE,85821,TRUE,85821,49305,0.3992268581323275,0.5385192292845404,0.5385192292845404,0.3992268581323275,0.3632204738330976,0.632226838755304,0.632226838755304,0.3632204738330976,-0.13929237115221293,0.13929237115221293,-0.13929237115221293,0.13929237115221293,-0.2690063649222065,0.2690063649222065,-0.2690063649222065,0.2690063649222065
46,6,2,4,181830,2204,184034,244653,337410,桃園縣第04選區,2012,73909,FALSE,105827,TRUE,105827,73909,129380,47966,FALSE,80769,TRUE,80769,47966,0.40647307924984877,0.582010669306495,0.582010669306495,0.40647307924984877,0.3707373628072345,0.6242773226155511,0.6242773226155511,0.3707373628072345,-0.17553759005664626,0.17553759005664626,-0.17553759005664626,0.17553759005664626,-0.2535399598083166,0.2535399598083166,-0.2535399598083166,0.2535399598083166
47,6,2,5,173310,4556,177866,235906,314613,桃園縣第05選區,2012,60887,FALSE,78504,TRUE,78504,60887,124938,38671,FALSE,79671,TRUE,79671,38671,0.3513184467139807,0.4529686688592695,0.4529686688592695,0.3513184467139807,0.3095215226752469,0.6376842914085387,0.6376842914085387,0.3095215226752469,-0.1016502221452888,0.1016502221452888,-0.1016502221452888,0.1016502221452888,-0.32816276873329175,0.32816276873329175,-0.32816276873329175,0.32816276873329175
48,6,2,6,169901,4296,174197,232279,314424,桃園縣第06選區,2012,0,FALSE,102528,TRUE,102528,53138,122400,39660,FALSE,79593,TRUE,79593,39660,0,0.6034573074908329,0.6034573074908329,0.3127586064825987,0.32401960784313727,0.6502696078431373,0.6502696078431373,0.32401960784313727,-0.6034573074908329,0.6034573074908329,-0.6034573074908329,0.29069870100823425,-0.32625,0.32625,-0.32625,0.32625
49,6,3,1,277903,4346,282249,368840,497670,新竹縣第01選區,2012,102953,FALSE,171466,TRUE,171466,102953,192253,0,FALSE,127892,TRUE,127892,60209,0.3704637949212495,0.6169994566449445,0.6169994566449445,0.3704637949212495,0,0.6652275907268027,0.6652275907268027,0.31317586721663643,-0.246535661723695,0.246535661723695,-0.246535661723695,0.246535661723695,-0.6652275907268027,0.6652275907268027,-0.6652275907268027,0.3520517235101663
50,6,4,1,145906,4542,150448,202011,261549,苗栗縣第01選區,2012,56179,FALSE,82902,TRUE,82902,56179,111722,46905,FALSE,64817,TRUE,64817,46905,0.3850355708469837,0.5681877373103231,0.5681877373103231,0.3850355708469837,0.419836737616584,0.580163262383416,0.580163262383416,0.419836737616584,-0.18315216646333943,0.18315216646333943,-0.18315216646333943,0.18315216646333943,-0.16032652476683196,0.16032652476683196,-0.16032652476683196,0.16032652476683196
51,6,4,2,165880,3172,169052,224923,289714,苗栗縣第02選區,2012,47022,FALSE,118858,TRUE,118858,47022,126859,18905,FALSE,48290,FALSE,57880,48290,0.2834699782975645,0.7165300217024355,0.7165300217024355,0.2834699782975645,0.14902371924735336,0.38065884170614617,0.4562545818585989,0.38065884170614617,-0.43306004340487103,0.43306004340487103,-0.43306004340487103,0.43306004340487103,-0.2316351224587928,0.2316351224587928,-0.30723086261124555,-0.07559574015245274
