villID,mayoral,presidential,margin_pr
10002090005,66.23845391737916,70.14855504141968,77
10002090006,67.22432687842097,73.2509876998836,61
10002090007,70.5568227897994,73.38876423726896,83
10002090008,67.58144789866671,70.9963606293733,71
10002090009,67.57111470195143,71.9894806331714,76
10002090010,66.85144959158909,71.24200466160198,84
10002090011,72.27402032181774,69.89080868855062,90
10002090012,73.00617176797161,70.35662353288437,87
10002090013,70.42790786016525,68.97422834771959,83
10002090014,69.92264922345929,71.45201318004928,90
10002090015,67.2978548420285,68.19797707603566,85
10002100001,77.55210284858804,67.70317271374951,70
10002100002,72.6613568765756,67.55079624183082,68
10002100003,78.30481375853427,67.12499135626499,82
10002100004,72.2752606197118,69.33194502467254,89
10002100005,75.45726208103379,71.89315575229236,45
10002100006,73.32763786741825,71.11495015269315,42
10002100007,73.41956150358098,71.56467799566215,67
10002100008,76.19211805992347,71.46082114376712,64
10002100009,65.21440524575628,61.58622394197299,81
10002100010,69.96028622965181,69.96986104962394,77
10002100011,76.99161269199399,71.16953026658328,89
10002100012,72.52179675780766,67.76115467847158,60
10002100013,71.20979692408264,63.78059861054967,28
10002100014,72.50284507443314,70.16975321801917,76
10002100015,74.13196228478854,70.95160862211301,92
10002100016,75.49596299387635,72.39414918774385,90
10002100017,75.2289497281536,74.8146686042598,96
10002100018,74.19636708757689,73.89607323074776,95
10002110001,82.11793684952859,72.45111099206991,2
10002110002,82.47834490677162,72.4264232203493,1
10002110003,79.61528475334933,68.5096460092316,8
10002110004,75.45573224499276,68.03518038053886,15
10002110005,81.12437058061514,67.1290571070526,4
10002110006,87.22016045507081,68.95894081397378,2
10002110007,66.57117657117658,57.56506184674533,43
10002110008,87.201697151557525,70.52463969070037,0
10002110009,91.59207599894069,72.15942452368299,5
10002110010,86.13906202387878,70.03871998221881,0
10002120001,82.0392098486912,69.76170235363715,1
10002120002,85.1067291826646,70.09624798662881,0
10002120003,87.41247249135442,74.21426524413253,1
10002120004,82.13591945074661,66.68600214291398,1
10002120005,80.35457035677545,70.90546663038474,4
10002120006,84.00697932363535,67.13913479617612,2
10002120007,82.02431850368637,69.72621451130499,1
10004010001,61.78857940967616,77.61474709948871,17
10004010002,62.64878508113156,78.54927490303324,17
10004010003,55.999760050490586,77.68524066688155,23
10004010004,61.62604660279231,77.31442439347246,20
10004010005,69.70852584205392,78.61031430710317,21
10004010006,68.46338502596484,72.99068366332382,16
10004010007,62.388440853244354,73.92912894783666,15
10004010008,64.38666813007687,75.0959051611903,14
10004010009,60.4222552354829,71.03450241790098,18
10004010010,63.135595844957166,73.040559167061,16
10004010011,63.533895086898994,72.760420399495,18
10004010012,69.93866265207042,75.32826125621975,21
10004010013,70.78536936514308,75.57618515090576,35
10004010014,71.33969071893532,75.76345238469199,28
10004010015,74.76146795178379,74.52042306376732,42
10004010016,76.98425124416173,75.3645215791823,73
10004010017,78.09204759509319,74.00432865966539,56
10004010018,78.22883666727121,75.22976914434793,57
10004010019,66.92546369746265,74.2450726920186,20
10004010020,80.92907538041355,74.86131116728495,62
10004010021,60.18978957444607,76.73252016799252,20
10004010022,65.41703817853929,74.19672935261814,22
10004010023,68.72229706528042,73.35691818552013,25
10004010024,67.08005861676918,77.14253438486496,16
10004010025,64.75316964552137,76.30373366992139,22
10004010026,69.97163473298434,74.73889005749511,18
10004010027,60.23423884367555,72.7967577855838,34
10004010028,60.36324704865744,73.46721987220147,46
10004010029,63.803156432210336,72.11505534806565,19
10004010030,66.39668255043944,74.68174603174603,22
10004010031,64.41235605922135,80.5228987541674,38
10004020001,78.18628838488365,69.08316170202302,11
10004020002,66.56086496680149,72.14131282331213,13
10004020003,79.98755965892116,71.4854211626091,11
10004020004,67.34897742125746,72.4859517020346,8
10004020005,66.69958612373887,74.32217909983136,7
10004020006,62.41933548810082,72.54891512803295,8
10004020007,64.64653150272474,71.9510781591129,8
10004020008,67.76992930294058,76.9765064687179,11
10004020009,58.79816739271398,67.4521974648578,7
10004020010,72.49691200384103,77.6225946667686,13
10004020011,71.63472899336485,75.27916785060472,7
10004020012,65.17808097663601,74.28550933091755,7
10004020013,67.94768528645855,74.99552371854213,10
10004020014,60.301965240091945,70.53721573567692,8
10004020015,62.24183246581547,73.99316718455619,11
10004020016,63.972116709365224,75.7915306714425,12
10004020017,72.71759500667206,76.97641809393888,14
10004020018,75.96598621799761,75.50545549223952,22
10004020019,60.648913683371845,74.0391153605141,12
10004020020,71.71686297397936,75.94556839537344,9
10004020021,71.01378826278554,76.22089643390926,13
10004020022,71.75627347120631,75.40339745738936,11
10004020023,65.88618616167713,75.74324384067356,7
10004020024,67.64906328607083,74.32269574962518,9
10004020025,82.69768725502598,77.06611525294086,12
10004030001,73.11821959748235,72.41429255236642,27
10004030002,75.02260084301699,76.1806388034863,26
10004030003,65.77071593559059,73.75159451357715,15
10004030004,72.87560822661213,73.00289338818945,20
10004030005,71.82343358251785,74.84652136387143,27
10004030006,66.83132708146306,71.74953211178156,16
10004030007,70.4325702921491,75.50372740775498,13
10004030008,72.90334438267254,76.33300120070513,16
10004030009,72.80925972313369,77.00963135321457,25
10004030010,71.62488281369333,73.23488696705874,12
10004030011,71.30810190601207,73.02946616332937,24
10004030012,69.95522446503811,73.84651011621978,20
10004030013,74.38497999905778,76.14483903201027,35
10004030014,78.33739670547719,75.884850170687,41
10004030015,78.46411164255838,77.04803987887736,47
10004030016,72.03198287489393,72.44746026690463,35
10004030017,84.38493190186192,77.38437945069013,52
10004030018,78.30686213778073,74.98428385028137,51
10004030019,79.33075933075934,77.04458654623969,50
10004040001,77.85233280263552,78.99076985421485,10
10004040002,70.92378562158686,75.32162101889026,7
10004040003,77.18428689668126,76.14630845709068,15
10004040004,70.02540341466504,73.96270517015105,14
10004040005,72.73358379499352,72.70798456171565,29
10004040006,77.93378861022804,75.46419187955784,25
10004040007,77.00536867923053,71.48398351765766,19
10004040008,67.0204604749255,72.97386333556373,14
10004040009,75.26905879759387,73.76681550171229,22
10004040010,72.88387587025989,70.97964841595572,36
10004040011,76.14987096254795,69.1556891519331,17
10004040012,70.38957864941158,68.65218741832565,17
10004040013,74.25284339354437,69.71574499136112,24
10004040014,81.494008561646325,77.8091081973881,43
10004040015,78.73283488739644,74.34095415009767,17
10004040016,80.64554376449763,75.33634309444726,10
10004040017,85.640903991119,77.18753109532582,17
10004040018,81.34992796791164,76.86855429189997,19
10004040019,78.40732091413017,74.00276013375235,28
10004040020,74.4835242331377,72.08042211415788,18
10004040021,76.58485809200259,74.55403488586558,30
10004050001,74.25973186995519,77.28404250524665,11
10004050002,75.36351382033527,75.70093772262331,13
10004050003,74.15761187935485,76.24403687198821,14
10004050004,68.20573443290074,71.73272808625865,14
10004050005,76.49664162923054,76.28580226696828,15
10004050006,69.22264502302632,73.11646075727361,17
10004050007,74.70793273806298,74.55269052391951,26
10004050008,71.71252803016571,73.81594615702653,14
10004050009,77.8240915837692,75.0199566051913,26
10004050010,72.90609332967163,74.38993609542527,14
10004050011,72.24571410138446,76.20204914968788,7
10004050012,69.80075439977807,74.00580020129297,9
10004050013,66.16241443200182,69.14365271498261,18
10004050014,61.74861445707381,68.83326125606806,12
10004050015,65.21233383126497,71.48733943564092,6
10004050016,60.220453137460595,71.1151012007753,5
10004050017,70.59792802021111,74.17357513646147,14
10004050018,74.01730764090388,78.27709955083657,14
10004050019,70.50194609032995,73.38915357196856,15
10004050020,62.65370285939474,71.31458765319276,6
10004060001,72.6079425421263,74.32235122744724,26
10004060002,73.32943102513153,72.53638827784394,27
10004060003,70.22437054288916,73.14525925706275,17
10004060004,70.29920379509552,70.74634720056817,52
10004060005,69.35554360865382,69.91805091326822,30
10004060006,81.8283265748493,72.37744330275522,45
10004060007,68.85114278848212,71.73397137027675,15
10004060008,65.22826783835691,70.35032834709146,12
10004060009,73.84944021286579,74.19153932156338,49
10004060010,65.1359808761002,73.8965046824037,9
10004060011,65.12825052129743,73.85881963239531,10
10004060012,72.61955735498653,72.01852248130176,15
10004060013,79.12831800972363,72.42425886484436,19
10004060014,64.7825355983412,73.74908596318619,12
10004060015,65.69031006315419,73.38159521394786,15
