villID,mayoral,presidential,univ_pr
10002080008,70.23516896268046,73.41602594299516,70
10002080009,69.32179495950827,68.06279863546564,38
10002080010,76.79478598845273,68.75251982749407,31
10002080011,78.30386417396545,75.2861989469994,39
10002080012,76.64060934636974,71.09231563604155,38
10002080013,70.55761976107982,69.97123724084983,33
10002080014,75.14208469379899,75.45304486050243,20
10002080015,65.45586703140998,69.81304170133545,41
10002080016,67.53958435155145,72.69946781582834,53
10002080017,67.63942674555359,72.96984110873942,53
10002080018,69.1026546595891,73.88103801894809,62
10002080019,67.73698521343219,71.91715662407242,29
10002080020,67.18625405066084,66.14422301463985,19
10002080021,65.59687072155126,70.21655306434495,42
10002080022,71.38810150658864,74.38816528186591,48
10002080023,69.25438795753638,73.07197343700213,55
10002080024,74.0801035061279,72.12073438413185,13
10002090001,70.79961870136779,72.14051461761568,52
10002090002,72.36370983150181,73.48702217442167,61
10002090003,66.07406444289049,71.789204762827,56
10002090004,65.17802971041314,72.27568433710718,53
10002090005,64.62334304894742,70.14855504141968,49
10002090006,67.1603977726443,73.2509876998836,75
10002090007,70.70249082186723,73.38876423726896,55
10002090008,68.99698274058706,70.9963606293733,48
10002090009,68.5187496499234,71.9894806331714,40
10002090010,68.37943931531774,71.24200466160198,49
10002090011,71.98245905415519,69.89080868855062,32
10002090012,73.37863967442934,70.35662353288437,25
10002090013,71.24186179024787,68.97422834771959,30
10002090014,70.68201943779479,71.45201318004928,29
10002090015,67.20230509073053,68.19797707603566,24
10002100001,73.29536738763613,67.70317271374951,15
10002100002,72.78833161115969,67.55079624183082,10
10002100003,76.00985221674877,67.12499135626499,22
10002100004,73.36134453781511,69.33194502467254,12
10002100005,72.91129357921659,71.89315575229236,15
10002100006,72.76390667035142,71.11495015269315,44
10002100007,72.99979102759839,71.56467799566215,29
10002100008,74.71725933064802,71.46082114376712,28
10002100009,64.8323427984445,61.58622394197299,12
10002100010,70.82543199418626,69.96986104962394,34
10002100011,75.17734151861114,71.16953026658328,26
10002100012,68.92015218138503,67.76115467847158,22
10002100013,66.81469538612396,63.78059861054967,13
10002100014,70.77689844616174,70.16975321801917,22
10002100015,75.36533662683408,70.95160862211301,36
10002100016,75.28582930756843,72.39414918774385,28
10002100017,74.52858409292386,74.8146686042598,41
10002100018,73.57390596521032,73.89607323074776,35
10002110001,80.62764419054903,72.45111099206991,0
